date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-31,1,-2,0.9,3.3,1,26,04:21 AM,12:29 PM,07:37 AM,04:22 PM,-1,-4,-0,-4,21,94,91,1.1,1006,1,7,130,15,Gdynia
2019-02-01,1,-3,0.1,8.7,1,8,05:22 AM,01:10 PM,07:36 AM,04:24 PM,-2,-4,-0,-4,21,58,90,0.1,1004,1,10,150,14,Gdynia
2019-02-02,3,-1,0.0,3.3,1,1,06:14 AM,01:59 PM,07:34 AM,04:26 PM,1,-2,2,-2,28,97,95,4.4,999,3,9,143,19,Gdynia
2019-02-03,2,1,0.4,3.4,1,0,06:57 AM,02:56 PM,07:32 AM,04:28 PM,1,-2,2,-2,23,94,90,0.6,1007,2,9,283,15,Gdynia
2019-02-04,2,1,2.0,8.7,1,0,07:32 AM,03:58 PM,07:30 AM,04:30 PM,-2,-4,1,-4,26,56,82,2.3,1022,2,7,288,19,Gdynia
2019-02-05,2,-4,0.1,3.4,1,0,08:00 AM,05:04 PM,07:28 AM,04:32 PM,-2,-5,1,-5,38,78,81,0.5,1024,2,10,218,26,Gdynia
2019-02-06,3,0,0.7,3.4,1,7,08:23 AM,06:11 PM,07:26 AM,04:34 PM,0,-2,2,-2,28,90,87,1.6,1023,3,8,251,19,Gdynia
2019-02-07,3,2,0.0,3.4,1,14,08:43 AM,07:19 PM,07:24 AM,04:36 PM,-1,-3,2,-3,33,89,80,4.4,1014,3,8,204,22,Gdynia
2019-02-08,4,2,0.0,3.4,1,22,09:00 AM,08:27 PM,07:23 AM,04:38 PM,1,-1,3,-1,29,91,89,7.2,1007,4,8,230,19,Gdynia
2019-02-09,7,2,0.0,3.4,2,29,09:17 AM,09:37 PM,07:21 AM,04:40 PM,2,-0,5,-0,42,85,85,6.0,1001,7,15,213,27,Gdynia
2019-02-10,5,-0,0.0,5.2,1,37,09:33 AM,10:47 PM,07:18 AM,04:42 PM,2,0,4,0,41,74,82,4.1,1001,5,12,206,27,Gdynia
2019-02-11,5,3,0.3,3.5,1,44,09:51 AM,11:59 PM,07:16 AM,04:44 PM,2,-0,4,-0,37,93,84,4.1,995,5,10,261,25,Gdynia
2019-02-12,2,1,0.0,5.2,1,52,10:11 AM,No moonset,07:14 AM,04:47 PM,-3,-4,2,-4,35,59,72,0.3,1017,2,10,317,24,Gdynia
2019-02-13,6,1,0.0,7.0,2,60,10:35 AM,01:13 AM,07:12 AM,04:49 PM,1,-1,4,-1,44,50,78,0.4,1023,6,11,278,28,Gdynia
2019-02-14,6,4,0.0,5.3,2,67,11:07 AM,02:28 AM,07:10 AM,04:51 PM,3,1,5,1,33,57,89,0.0,1030,6,13,283,22,Gdynia
2019-02-15,6,4,0.0,8.7,2,75,11:49 AM,03:43 AM,07:08 AM,04:53 PM,2,1,5,1,27,29,86,0.0,1030,6,11,276,17,Gdynia
2019-02-16,10,4,0.0,8.7,3,82,12:43 PM,04:51 AM,07:06 AM,04:55 PM,-1,4,7,4,34,4,60,0.0,1024,10,15,244,18,Gdynia
2019-02-17,6,4,0.0,3.6,2,90,01:53 PM,05:50 AM,07:04 AM,04:57 PM,3,2,5,2,27,50,86,0.1,1022,6,15,281,17,Gdynia
2019-02-18,8,3,0.0,8.7,3,97,03:15 PM,06:36 AM,07:01 AM,04:59 PM,3,2,5,2,22,25,87,0.0,1021,8,12,199,13,Gdynia
2019-02-19,8,5,0.0,5.5,2,100,04:43 PM,07:13 AM,06:59 AM,05:01 PM,2,2,6,2,34,56,77,1.4,1011,8,9,238,21,Gdynia
2019-02-20,6,3,0.0,3.9,2,88,06:12 PM,07:41 AM,06:57 AM,05:03 PM,1,1,5,1,37,78,78,1.1,1013,6,9,296,25,Gdynia
2019-02-21,4,1,0.0,3.9,1,80,07:40 PM,08:05 AM,06:55 AM,05:05 PM,2,0,3,0,18,96,91,16.7,1019,4,8,152,12,Gdynia
2019-02-22,-1,-3,0.3,8.7,2,73,09:06 PM,08:26 AM,06:52 AM,05:07 PM,-9,-6,-1,-6,25,19,57,1.3,1037,-1,9,64,18,Gdynia
2019-02-23,2,-3,0.0,8.7,1,65,10:28 PM,08:46 AM,06:50 AM,05:09 PM,-9,-4,-0,-4,21,30,50,0.0,1043,2,18,233,15,Gdynia
2019-02-24,6,-0,0.0,7.1,1,57,11:47 PM,09:07 AM,06:48 AM,05:11 PM,-2,-1,4,-1,39,52,65,0.6,1035,6,9,284,24,Gdynia
2019-02-25,6,1,0.0,8.7,1,50,No moonrise,09:30 AM,06:45 AM,05:14 PM,2,-0,4,-0,31,39,85,0.0,1031,6,10,296,20,Gdynia
2019-02-26,7,3,0.0,8.7,3,42,01:03 AM,09:57 AM,06:43 AM,05:16 PM,1,1,5,1,35,17,76,0.0,1028,7,10,319,23,Gdynia
2019-02-27,9,4,0.0,8.7,3,35,02:13 AM,10:29 AM,06:41 AM,05:18 PM,0,2,6,2,38,11,67,0.0,1021,9,10,270,23,Gdynia
2019-02-28,6,5,0.0,8.7,3,27,03:17 AM,11:08 AM,06:38 AM,05:20 PM,1,1,5,1,40,19,72,0.0,1005,6,10,303,26,Gdynia
2019-03-01,3,0,0.0,4.1,1,26,04:12 AM,11:55 AM,06:36 AM,05:22 PM,-3,-2,2,-2,21,66,70,0.1,1010,3,9,149,15,Gdynia
2019-03-02,5,-1,0.0,8.7,2,19,04:58 AM,12:49 PM,06:33 AM,05:24 PM,-5,-2,2,-2,18,26,59,0.0,1014,5,10,243,13,Gdynia
2019-03-03,8,2,0.0,4.1,2,12,05:35 AM,01:50 PM,06:31 AM,05:26 PM,2,0,5,0,35,78,85,2.6,1004,8,8,235,22,Gdynia
2019-03-04,9,3,0.0,4.1,2,4,06:04 AM,02:54 PM,06:29 AM,05:28 PM,5,5,8,5,37,90,82,10.7,991,9,8,229,23,Gdynia
2019-03-05,6,2,0.0,4.1,2,0,06:28 AM,04:01 PM,06:26 AM,05:30 PM,1,0,5,0,50,98,74,15.1,991,6,6,249,35,Gdynia
2019-03-06,6,0,0.9,4.2,1,0,06:49 AM,05:10 PM,06:24 AM,05:32 PM,-0,0,3,0,20,82,79,1.1,1010,6,9,165,13,Gdynia
2019-03-07,11,5,0.0,4.2,2,3,07:07 AM,06:18 PM,06:21 AM,05:34 PM,3,4,8,4,39,91,71,2.0,999,11,8,193,24,Gdynia
2019-03-08,8,5,0.0,4.2,2,10,07:24 AM,07:28 PM,06:19 AM,05:36 PM,2,2,7,2,50,54,69,1.3,999,8,8,235,34,Gdynia
2019-03-09,7,3,0.0,4.2,2,17,07:40 AM,08:38 PM,06:16 AM,05:38 PM,0,0,5,0,43,78,72,3.6,1002,7,7,239,29,Gdynia
2019-03-10,6,4,0.0,4.2,1,24,07:57 AM,09:50 PM,06:14 AM,05:39 PM,0,-0,4,-0,39,83,73,7.8,996,6,8,271,28,Gdynia
2019-03-11,4,-1,0.2,8.7,1,32,08:15 AM,11:03 PM,06:12 AM,05:41 PM,-5,-2,2,-2,24,48,61,0.5,1003,4,9,300,17,Gdynia
2019-03-12,5,0,0.0,5.7,1,39,08:38 AM,No moonset,06:09 AM,05:43 PM,-5,-1,3,-1,25,49,59,0.2,1013,5,10,275,17,Gdynia
2019-03-13,6,3,0.0,4.3,2,46,09:06 AM,12:16 AM,06:07 AM,05:45 PM,-0,0,5,0,36,82,71,2.6,1003,6,8,202,25,Gdynia
2019-03-14,7,5,0.0,4.3,2,54,09:42 AM,01:30 AM,06:04 AM,05:47 PM,1,1,6,1,36,81,74,2.4,996,7,6,211,25,Gdynia
2019-03-15,7,4,0.0,4.3,2,61,10:29 AM,02:38 AM,06:02 AM,05:49 PM,2,2,5,2,28,98,81,5.2,992,7,3,214,19,Gdynia
2019-03-16,6,4,0.0,6.0,2,68,11:31 AM,03:39 AM,05:59 AM,05:51 PM,2,0,5,0,43,88,78,13.4,995,6,9,280,31,Gdynia
2019-03-17,10,5,0.0,6.0,2,75,12:45 PM,04:28 AM,05:57 AM,05:53 PM,4,4,7,4,32,90,81,5.2,999,10,13,218,21,Gdynia
2019-03-18,7,5,0.0,8.8,2,83,02:08 PM,05:08 AM,05:54 AM,05:55 PM,0,1,6,1,39,53,70,1.5,1005,7,18,239,27,Gdynia
2019-03-19,6,2,0.0,11.6,1,90,03:36 PM,05:39 AM,05:52 AM,05:57 PM,-1,-0,4,-0,27,23,70,0.1,1019,6,11,283,20,Gdynia
2019-03-20,9,2,0.0,10.2,2,97,05:05 PM,06:04 AM,05:49 AM,05:59 PM,-0,2,5,2,29,48,68,0.2,1028,9,10,263,20,Gdynia
2019-03-21,10,6,0.0,9.2,2,100,06:32 PM,06:26 AM,05:47 AM,06:01 PM,5,5,8,5,35,75,83,0.0,1028,10,10,272,23,Gdynia
2019-03-22,8,6,0.0,12.6,2,88,07:58 PM,06:47 AM,05:45 AM,06:02 PM,3,5,7,5,24,44,76,0.0,1031,8,10,178,15,Gdynia
2019-03-23,13,5,0.0,11.9,2,81,09:22 PM,07:08 AM,05:42 AM,06:04 PM,4,5,8,5,30,33,76,0.0,1026,13,10,238,19,Gdynia
2019-03-24,7,4,0.0,11.9,2,74,10:42 PM,07:30 AM,05:40 AM,06:06 PM,0,2,6,2,27,43,69,0.0,1023,7,10,294,19,Gdynia
2019-03-25,6,3,0.0,11.9,1,66,11:58 PM,07:55 AM,05:37 AM,06:08 PM,0,1,4,1,23,50,76,1.9,1012,6,10,300,16,Gdynia
